date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-23,lawb-pool-monitor,claude-opus-4-7,8,512,114953,561
2026-05-23,lawb-pool-monitor,claude-opus-4-7,46,17856,1723748,62727
2026-05-23,lawb-pool-monitor,claude-opus-4-7,20,8979,592697,26995
2026-05-23,lawb-pool-monitor,claude-opus-4-7,23,11320,739434,30726
2026-05-24,lawb-pool-monitor,claude-opus-4-7,41,23640,1999493,54307
2026-05-24,lawb-pool-monitor,claude-opus-4-7,286,9753,619111,28871
2026-05-24,heartbeat,claude-opus-4-7,674,6775,261472,35954
2026-05-24,lawb-pool-monitor,claude-opus-4-7,33,12170,1277420,35436
2026-05-24,lawb-pool-monitor,claude-opus-4-7,377,15058,841353,40657
2026-05-25,lawb-pool-monitor,claude-opus-4-7,100,21264,1963647,47481
2026-05-25,lawb-pool-monitor,claude-opus-4-7,29,17897,1174273,44311
2026-05-25,lawb-pool-monitor,claude-opus-4-7,564,14782,933990,45041
2026-05-25,lawb-pool-monitor,claude-opus-4-7,246,13330,877620,38309
2026-05-25,lawb-pool-monitor,claude-opus-4-7,676,10861,708897,33627
2026-05-25,lawb-pool-monitor,claude-opus-4-7,739,12731,1164610,41595
2026-05-25,lawb-pool-monitor,claude-opus-4-7,21,8516,714452,32778
2026-05-25,heartbeat,claude-opus-4-7,674,7845,289144,46065
2026-05-25,lawb-pool-monitor,claude-opus-4-7,23,10549,859807,37972
